participant.id_in_session,participant._index_in_pages,participant.time_started_utc,player.q_gender,player.q_age,player.q_area,player.q_education,player.q_device,player.big5_1,player.big5_2,player.big5_3,player.big5_4,player.big5_5,player.big5_6,player.big5_7,player.big5_IMC,player.big5_8,player.big5_9,player.big5_10,player.inboron1,player.inboron2,player.inboron3,player.inboron4,player.inboron5,player.inboron6,player.inboron7,player.inboron8,player.inboron9,player.inboron10,player.inboron11,player.inboron12,player.inboronIMC,player.inboron13,player.inboron14,player.inboron15,player.inboron16,player.crt_bat,player.crt_widget,player.crt_lake,player.crt_DQS,player.crt_rank,category,DQS_1,DQS_2,DQS_3,Or_DQS,basic,gain_emphasis,loss_aversion,pre_commitment,using_llm
1,8,00:43:00,0,4,3,4,2,4,2,6,7,4,6,4,5,3,6,7,1,1,2,1,2,1,1,4,4,4,1,1,4,1,1,2,1,5,5,47,27,31,basic,0,0,0,0,1,0,0,0,0
2,8,00:44:00,1,4,0,1,2,2,2,4,7,6,3,6,5,4,3,2,2,4,4,3,3,2,2,1,4,5,4,4,4,1,4,5,2,10,100,96,27,15,basic,0,0,0,0,1,0,0,0,0
3,8,00:44:00,0,4,7,5,0,5,2,4,5,5,5,5,5,3,6,2,1,2,1,2,2,2,2,1,2,3,2,3,4,3,3,3,5,10,5,47,27,30,basic,0,0,0,0,1,0,0,0,0
4,8,00:45:00,0,3,2,4,0,3,3,3,5,4,5,4,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
5,8,00:45:00,1,4,4,2,2,2,2,4,3,3,4,5,5,3,3,4,2,2,3,3,3,3,3,3,3,2,3,2,4,2,2,3,3,10,10,24,5,14,basic,0,0,1,1,1,0,0,0,0
6,8,00:45:00,0,5,4,1,2,2,4,3,6,5,4,4,5,6,4,5,2,2,3,2,3,2,2,2,4,4,2,2,4,3,3,4,3,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
7,8,00:45:00,0,5,4,0,2,4,3,2,4,4,5,6,5,5,5,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,100,20,27,29,basic,0,0,0,0,1,0,0,0,0
8,8,00:46:00,1,2,5,5,2,1,7,5,7,6,4,1,3,7,1,1,5,4,5,3,5,4,5,5,5,5,5,5,4,4,5,5,4,5,5,5,27,29,basic,1,0,0,1,1,0,0,0,0
9,8,00:46:00,1,4,4,4,0,4,7,5,3,4,2,5,5,6,3,5,1,3,2,2,2,1,2,3,4,4,2,3,4,4,2,4,4,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
10,8,00:46:00,1,2,2,4,2,3,3,4,5,5,5,5,5,5,4,4,3,3,4,5,4,3,3,3,3,3,3,3,4,3,3,3,3,10,5,6,2,30,basic,0,0,1,1,1,0,0,0,0
11,8,00:46:00,0,2,2,4,0,4,6,5,4,6,3,3,5,5,3,3,2,4,3,3,2,2,2,4,3,4,4,5,4,3,3,4,2,10,5,47,8,15,basic,0,0,1,1,1,0,0,0,0
12,8,00:46:00,1,4,2,4,0,5,2,4,3,3,4,5,5,2,5,4,2,3,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
13,8,00:47:00,0,2,3,4,0,3,4,5,3,4,6,3,5,4,6,3,4,3,4,2,4,3,3,1,2,1,2,3,4,2,3,3,4,10,500,24,27,30,basic,0,0,0,0,1,0,0,0,0
14,8,00:47:00,0,2,4,4,2,2,3,4,5,4,5,5,5,5,4,6,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,5,5,47,27,31,basic,0,0,0,0,1,0,0,0,0
15,8,00:47:00,1,5,4,1,2,4,6,2,6,5,3,5,5,5,2,3,3,3,4,3,3,3,3,4,4,4,3,3,4,2,3,4,4,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
16,8,00:48:00,0,4,3,5,0,2,1,5,2,2,5,4,5,2,6,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,10,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
17,8,00:48:00,0,4,4,4,1,2,6,1,6,4,4,2,5,6,2,4,1,2,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
18,8,00:49:00,0,4,2,4,0,1,5,2,7,4,4,3,5,6,2,6,1,1,3,1,1,1,1,3,4,2,1,1,4,1,1,4,1,5,5,24,27,29,basic,0,0,0,0,1,0,0,0,0
19,8,00:49:00,0,6,4,5,0,3,2,5,2,6,4,6,5,4,5,1,2,2,2,2,2,2,2,3,3,2,2,2,4,2,2,3,2,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
21,8,00:49:00,1,3,2,1,2,2,3,3,4,4,5,5,5,4,4,5,2,2,2,2,2,2,2,2,3,2,2,2,4,3,2,2,2,10,2024,24,27,29,basic,0,0,0,0,1,0,0,0,0
23,8,00:50:00,1,4,4,1,0,1,5,3,7,5,7,5,5,6,4,2,1,1,2,1,2,1,1,2,2,1,1,1,4,3,2,2,2,5,5,47,27,29,basic,0,0,0,0,1,0,0,0,0
24,8,00:50:00,0,6,2,4,0,3,4,2,5,3,6,5,5,5,3,6,2,2,1,3,3,2,3,1,3,3,2,2,4,1,2,3,3,5,5,47,27,30,basic,0,0,0,0,1,0,0,0,0
25,8,00:50:00,1,3,3,4,0,2,4,5,3,2,5,3,5,3,4,6,2,2,1,2,2,2,1,1,1,2,2,1,2,1,2,3,2,5,5,47,4,29,basic,0,1,1,1,1,0,0,0,0
26,8,00:50:00,0,6,3,1,0,2,5,2,5,1,4,3,3,5,1,6,2,3,3,4,3,1,2,3,4,3,3,4,4,3,3,4,4,10,5,47,27,31,basic,1,0,0,1,1,0,0,0,0
