participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.q_gender,player.q_age,player.q_area,player.q_education,player.q_device,player.big5_1,player.big5_2,player.big5_3,player.big5_4,player.big5_5,player.big5_6,player.big5_7,player.big5_IMC,player.big5_8,player.big5_9,player.big5_10,player.Gaiko,player.Kyocho,player.Kinben,player.Shinkei,player.Kaiho,player.inboron1,player.inboron2,player.inboron3,player.inboron4,player.inboron5,player.inboron6,player.inboron7,player.inboron8,player.inboron9,player.inboron10,player.inboron11,player.inboron12,player.inboronIMC,player.inboron13,player.inboron14,player.inboron15,player.inboron16,player.crt_bat,player.crt_widget,player.crt_lake,player.crt_DQS,player.crt_rank,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,lgiw8kzt,x30013,0,9,9,finish,FinishPage,2025-10-24 05:00:43.036266,1,,,0.0,1,,0.0,0,1,3,4,2,1,4,5,3,3,5,5,5,4,5,5,,,,,,3,3,3,2,2,4,3,3,3,2,3,3,4,3,3,3,4,5,10,4,6,15,1,1,k06n720t,,,,,0
2,ljg5y46h,x30014,0,9,9,finish,FinishPage,2025-10-24 05:00:43.697861,1,,,0.0,2,,0.0,0,4,0,1,0,2,5,1,7,3,5,3,3,7,1,6,,,,,,2,2,1,2,2,2,4,1,2,2,5,2,4,1,2,4,2,5,5,47,27,29,1,1,k06n720t,,,,,0
3,7745cxh0,x30020,0,9,9,finish,FinishPage,2025-10-24 05:00:44.186185,1,,,0.0,3,,0.0,0,4,4,2,2,4,4,5,6,5,5,5,5,6,3,4,,,,,,1,2,3,3,2,1,3,3,3,2,2,2,4,3,2,3,2,10,5,47,27,30,1,1,k06n720t,,,,,0
4,vd2k2ya5,x30015,0,9,9,finish,FinishPage,2025-10-24 05:00:44.390882,1,,,0.0,4,,0.0,0,4,5,2,2,3,3,3,4,3,3,4,5,6,4,3,,,,,,1,1,1,1,1,1,1,2,2,3,1,1,4,2,2,2,2,10,25,47,27,30,1,1,k06n720t,,,,,0
5,zm7lvysl,x30007,0,9,9,finish,FinishPage,2025-10-24 05:00:45.291006,1,,,0.0,5,,0.0,0,5,4,1,1,3,4,5,5,4,5,5,5,2,3,5,,,,,,3,2,4,3,2,3,4,3,4,4,2,2,4,4,2,2,4,10,10,96,27,30,1,1,k06n720t,,,,,0
6,4qqlzla9,x30006,0,9,9,finish,FinishPage,2025-10-24 05:00:45.675440,1,,,0.0,6,,0.0,0,3,2,4,0,1,4,1,7,4,6,2,5,7,2,4,,,,,,2,2,2,2,2,2,2,2,3,2,2,2,4,2,2,2,2,5,5,47,27,29,1,1,k06n720t,,,,,0
7,v1oy3tyn,x30032,0,9,9,finish,FinishPage,2025-10-24 05:00:45.941415,1,,,0.0,7,,0.0,1,4,3,4,2,5,1,7,4,5,2,6,5,1,6,3,,,,,,2,2,1,1,1,1,1,1,2,3,2,1,4,1,2,2,1,10,5,47,27,29,1,1,k06n720t,,,,,0
8,69de9aca,x30040,0,9,9,finish,FinishPage,2025-10-24 05:00:46.129867,1,,,0.0,8,,0.0,0,4,2,4,2,5,6,3,5,2,4,6,5,5,3,4,,,,,,3,4,4,4,3,3,3,4,5,4,4,3,4,4,2,4,5,5,5,47,27,29,1,1,k06n720t,,,,,0
9,asse11tr,x30002,0,9,9,finish,FinishPage,2025-10-24 05:00:46.478646,1,,,0.0,9,,0.0,0,1,2,4,0,4,4,4,4,4,4,4,5,4,4,4,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,10,100,24,27,30,1,1,k06n720t,,,,,0
10,4094ec59,x30024,0,9,9,finish,FinishPage,2025-10-24 05:00:46.607148,1,,,0.0,10,,0.0,0,5,3,4,2,2,2,5,2,3,6,6,5,5,5,6,,,,,,4,2,4,5,4,2,4,5,5,5,5,4,4,5,4,5,4,5,5,47,27,31,1,1,k06n720t,,,,,0
11,4d7savgx,x30027,0,9,9,finish,FinishPage,2025-10-24 05:00:46.649509,1,,,0.0,11,,0.0,0,6,2,4,2,6,1,7,1,2,7,7,5,1,7,1,,,,,,1,1,1,2,1,1,1,2,3,2,1,2,4,2,2,3,2,10,10,4,27,30,1,1,k06n720t,,,,,0
12,fmhhw137,x30010,0,9,9,finish,FinishPage,2025-10-24 05:00:47.125921,1,,,0.0,12,,0.0,0,6,2,1,2,2,3,5,3,6,3,6,5,3,4,2,,,,,,1,3,1,2,1,2,2,2,2,2,3,2,4,3,2,4,3,10,100,48,27,15,1,1,k06n720t,,,,,0
13,xgzx2pbg,x30011,0,9,9,finish,FinishPage,2025-10-24 05:00:47.284276,1,,,0.0,13,,0.0,1,4,3,3,0,4,4,3,5,4,3,4,5,5,4,4,,,,,,2,2,2,2,3,3,2,2,3,2,3,3,4,3,2,3,3,5,5,47,27,29,1,1,k06n720t,,,,,0
