participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.nudge_message,player.q_gender,player.q_age,player.q_area,player.q_education,player.q_device,player.big5_1,player.big5_2,player.big5_3,player.big5_4,player.big5_5,player.big5_6,player.big5_7,player.big5_IMC,player.big5_8,player.big5_9,player.big5_10,player.Gaiko,player.Kyocho,player.Kinben,player.Shinkei,player.Kaiho,player.inboron1,player.inboron2,player.inboron3,player.inboron4,player.inboron5,player.inboron6,player.inboron7,player.inboron8,player.inboron9,player.inboron10,player.inboron11,player.inboron12,player.inboronIMC,player.inboron13,player.inboron14,player.inboron15,player.inboron16,player.crt_bat,player.crt_widget,player.crt_lake,player.crt_DQS,player.crt_rank,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,ittthzcv,x50020,0,9,9,finish,FinishPage,2025-10-24 05:00:44.199751,1,,,0.0,1,,0.0,あなたの回答は、重要な研究の一部となります。誠実にお答えいただくことで、より正確な結果が得られ、社会に大きく貢献します。明確で正直な回答をお願いします。,0,3,4,4,0,6,5,2,5,5,3,4,5,2,5,6,,,,,,3,2,3,3,3,2,3,3,4,4,2,2,4,3,3,3,3,5,5,47,27,29,1,1,yhm6s5w5,,,,,0
2,l6enakdq,x50027,0,9,9,finish,FinishPage,2025-10-24 05:00:44.580382,1,,,0.0,2,,0.0,あなたの回答は、データの質を左右する重要なものです。誠実に答えることで、より正確な結果が得られ、皆にとって有益な情報が生まれます。信頼を築きましょう。,1,4,2,2,2,3,6,6,5,3,2,7,5,3,4,4,,,,,,2,2,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,5,5,47,27,29,1,1,yhm6s5w5,,,,,0
3,e06ltkrj,x50002,0,9,9,finish,FinishPage,2025-10-24 05:00:44.674899,1,,,0.0,3,,0.0,あなたの正直な回答が、より良いサービス改善のカギとなります。皆様のご協力で社会全体を前進させましょう。お互いの信頼のもと、真実の声をお待ちしています。,0,3,3,1,0,6,3,4,4,7,4,4,5,4,4,4,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,47,6,29,1,1,yhm6s5w5,,,,,0
4,jw8d59ie,x50031,0,9,9,finish,FinishPage,2025-10-24 05:00:45.152300,1,,,0.0,4,,0.0,ご協力ありがとうございます。誠実なご回答は、より正確で役立つデータの収集に繋がります。ご意見は大変重要で、貴重な情報源として大切に扱います。,1,4,5,4,2,3,3,4,1,3,3,4,5,1,4,3,,,,,,2,2,2,2,2,2,2,1,2,4,2,2,4,2,3,2,2,10,500,24,27,30,1,1,yhm6s5w5,,,,,0
5,2tp8rpo1,x50007,0,9,9,finish,FinishPage,2025-10-24 05:00:45.392154,1,,,0.0,5,,0.0,あなたの誠実な回答が、この調査の信頼性を高めます。正確なデータは、より良い意思決定に繋がります。ぜひ、ご協力をお願いします。,0,2,2,1,0,1,7,1,4,4,7,1,5,7,4,7,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,10,500,24,27,30,1,1,yhm6s5w5,,,,,0
6,0u6o4wnl,x50026,0,9,9,finish,FinishPage,2025-10-24 05:00:45.636080,1,,,0.0,6,,0.0,皆様の誠実な回答は、より良い結果と正しい理解の鍵となります。ご協力いただけることで、より良い意思決定につながりますので、正直な回答をお願いいたします。,1,4,2,4,2,2,3,1,7,2,3,4,5,6,2,6,,,,,,2,3,2,2,3,2,2,4,2,4,3,4,4,4,4,5,3,10,5,47,27,29,1,1,yhm6s5w5,,,,,0
7,6rwe3s9j,x50034,0,9,9,finish,FinishPage,2025-10-24 05:00:45.838911,1,,,0.0,7,,0.0,あなたの誠実な回答は、調査の信用と成果に大きく貢献します。すべての回答が大切です。正直に答えていただけると、より正確な結果につながります。ご協力感謝します。,0,1,4,1,2,2,2,3,1,3,7,2,5,6,2,2,,,,,,1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,10,5,47,27,30,1,1,yhm6s5w5,,,,,0
8,w1n7e2ju,x50008,0,9,9,finish,FinishPage,2025-10-24 05:00:46.334971,1,,,0.0,8,,0.0,皆さんの誠実な回答が、より良い社会やサービスの改善に繋がります。一人ひとりの真実の声が集まることが、とても大切です。どうぞ、正直にご協力ください。,0,4,2,1,0,6,1,6,3,5,4,5,5,1,6,4,,,,,,1,3,3,2,2,2,2,4,4,2,2,2,4,2,2,3,3,10,5,47,6,29,1,1,yhm6s5w5,,,,,0
9,yc2j0vs7,x50009,0,9,9,finish,FinishPage,2025-10-24 05:00:46.481112,1,,,0.0,9,,0.0,このアンケートは、あなたの貴重な意見を真摯にお聞きしたいと考えています。誠実な回答をしていただくことで、データの精度と有用性が向上し、皆様により良いサービスを提供できます。,0,3,4,4,0,2,1,4,5,5,6,5,5,2,7,3,,,,,,1,4,4,4,1,1,2,4,1,4,2,4,2,1,2,3,4,5,5,47,27,29,1,1,yhm6s5w5,,,,,0
10,qr7yw1lg,x50001,0,9,9,finish,FinishPage,2025-10-24 05:00:46.775758,1,,,0.0,10,,0.0,「あなたの誠実な回答が、この調査の信頼性を高めます。すべての意見は価値があり、私たちに新たな気づきをもたらします。本当にありがとうございます。」,1,1,4,4,0,1,1,6,7,4,7,5,5,5,4,4,,,,,,3,2,3,2,1,2,2,1,2,1,2,2,4,1,2,3,1,5,5,47,5,29,1,1,yhm6s5w5,,,,,0
